sourceCode,concept_id
HR ,3027018 
HR ,8483 
RR ,3024171 
RR ,8483 
Body temperature ,3020891 
Body temperature ,586323 
SBP (Systolic Blood Pressure) ,3004249 
SBP (Systolic Blood Pressure) ,8876 
DBP (Diastolic blood pressure) ,3012888 
DBP (Diastolic blood pressure) ,8876 
SpO2 ,4096101 
SpO2 ,8554 
Urine output ,3014315 
Urine output ,8587 
Urine output ,44777613 
Urine output ,33014 
Urine output ,0 
Weight ,3025315 
Weight ,9529 
Weight ,8504 
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
