sourceCode,concept_id,
pH ,3012544 ,
pH ,3009343 ,
pCO2 ,3021447 ,
pCO2 ,3023024 ,
pCO2 ,44777602 ,
pCO2 ,8876 ,
PaO2 ,3024354 ,
PaO2 ,3028626 ,
PaO2 ,44777602 ,
PaO2 ,8876 ,
HCO3 ,3027273 ,
HCO3 ,3015235 ,
HCO3 ,8753 ,
Base excess,3002032 ,
Base excess,3003129 ,
Base excess,8753 ,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
