sourceCode,concept_id
"Antegrade Cerebral Perfusion start datetime, end datetime ",4272324 
Aristotle's score of surgery ,0 
"Cardiac bypass start datetime, end datetime ",4336464 
"Cross-clamping start datetime, end datetime ",4201547 
"Deep hypothermic circulatory arrest start datetime, end datetime ",44790138 
Extubation event ,4150627 
STAT/EACTS score of surgery ,40490494 
"Surgery start datetime, end datetime ",4301351 
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
