sourceCode,concept_id
GCS ,3032652 
Pupillary reactivity (right) ,21490963 
Pupillary reactivity (right) ,4069590 
Pupillary reactivity (right) ,45879546 
Pupillary reactivity (right) ,45880051 
Pupillary reactivity (right) ,4188539 
Pupillary reactivity (right) ,4188540 
Pupillary reactivity (left) ,21491763 
Pupillary reactivity (left) ,4069590 
Pupillary reactivity (left) ,45879546 
Pupillary reactivity (left) ,45880051 
Pupillary reactivity (left) ,4188539 
Pupillary reactivity (left) ,4188540 
Pupillary size (right) ,3027214 
Pupillary size (right) ,8588 
Pupillary size (right) ,36310446 
Pupillary size (right) ,21499034 
Pupillary size (right) ,4116857 
Pupillary size (left) ,3021415 
Pupillary size (left) ,8588 
Pupillary size (left) ,36310446 
Pupillary size (left) ,21499034 
Pupillary size (left) ,4116857 
Capillary refill time ,3045676 
Capillary refill time ,8555 
Peripheral pulse (pressure) ,4314539 
Peripheral pulse (pressure) ,4181412 
Peripheral pulse (pressure) ,4132135 
Peripheral pulse (pressure) ,4124461 
Peripheral pulse (pressure) ,8483 
Central pulse ,4224504 
Central pulse ,4181412 
Central pulse ,4132135 
Central pulse ,4124461 
Central pulse ,8483 
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
