sourceCode,concept_id
factor VIII,35766745
factor VIII,35771058
factor VIII,35754324
factor VIII,35758435
factor VIII,35771055
factor VIII,43515206
factor VIII,35762625
factor VIII,21154209
factor VIII,21085384
factor VIII,21075681
factor VIII,21124454
factor VIII,21095190
factor VIII,2061062
factor VIII,2061050
factor VIII,2061030
factor VIII,2061007
factor VIII,2061102
factor VIII,35771458
factor VIII,35758810
factor VIII,35758809
factor VIII,35754712
factor VIII,2923922
factor VIII,43290877
factor VIII,2923914
factor VIII,43269176
factor VIII,2923932
factor VIII,43263693
factor VIII,2923927
factor VIII,43258267
factor VIII,40745282
factor VIII,43026972
factor VIII,40745288
factor VIII,43026968
factor VIII,8985
factor VIII dose is continuous infusion or bolus dose,40492862
factor VIII dose is continuous infusion or bolus dose,4129275
factor VIII dose is continuous infusion or bolus dose,4265597
desmopressin,1517070
desmopressin,9655
desmopressin,8576
desmopressin,9662
