sourceCode,concept_id
Unspecified repair of defect of interventricular septum ,4199899 
Extracorporeal membrane oxygenation ,4052536 
Other specified: plastic repair of aorta ,4019026 
Unspecified repair of tetralogy of fallot ,4019929 
Repositioning of transposed great arteries ,4019932 
Creation of anastomosis to pulmonary artery from vena cava ,4019237 
Primary repair of defect of atrioventricular septum NEC/repair of persistent ostium primum/repair of persistent ostium primum ,40486525 
Primary repair of defect of atrioventricular septum NEC/repair of persistent ostium primum/repair of persistent ostium primum ,4187380 
Primary repair of defect of interatrial septum NEC/repair of defect of interatrial septum using pericardial patch ,4020376 
Application of band to pulmonary artery ,4049734 
Unspecified other transplantation of heart/allotransplantation of heart NEC ,4336751 
Unspecified other transplantation of heart/allotransplantation of heart NEC ,4137127 
Open implantation of ventricular assist device ,4139214 
Total cavopulmonary connection with extracardiac inferior caval vein topulmonary artery conduit ,44789857 
Implantation of cardiac pacemaker system NEC ,4144921 
Aortopulmonary reconstruction with systemic to pulmonary arterial shunt ,44793133 
Unspecified correction of total anomalous pulmonary  venous connection ,4017751 
Other specified other operations on ventricles of heart ,44510968 
Revision of cardiac conduit nec/creation of valved conduit between Right ventricle of heart and Pulmonary artery/replacement of valved cardiac conduit/ replacement of pulmonary valve nec ,4020506 
Revision of cardiac conduit nec/creation of valved conduit between Right ventricle of heart and Pulmonary artery/replacement of valved cardiac conduit/ replacement of pulmonary valve nec ,4178479 
Revision of cardiac conduit nec/creation of valved conduit between Right ventricle of heart and Pulmonary artery/replacement of valved cardiac conduit/ replacement of pulmonary valve nec ,4019950 
Revision of cardiac conduit nec/creation of valved conduit between Right ventricle of heart and Pulmonary artery/replacement of valved cardiac conduit/ replacement of pulmonary valve nec ,4339184 
Correction of persistent sinus venosus ,4020508 
Release of vascular ring of aorta ,4019028 
Repair of defect of interventricular septum using prosthetic patch/unspecified repair of defect of interventricular septum ,4232476 
Aortic root pulmonary valve autograft with right vent to pulmonary artery valved conduit/ aortic root pulmonary valve autograft with right vent to pulmonary artery aortoventriculoplasty ,44790415 
Repair of subaortic stenosis ,4018747 
Unspecified creation of shunt to pulmonary artery from subclavian artery using interposition tube pr ,4019233 
Closure of patent ductus arteriosus NEC ,4050114 
Removal of band from pulmonary artery ,4021725 
Aortic valve repair NEC ,4312194 
Plastic repair of aorta and end to end anastomosis of aorta ,4020812 
Repair of double outlet right ventricle ,4049979 
Correction of partial anomalous pulmonary venous drainage ,4018441 
Open aortic valvotomy ,4020520 
Other specified : repair of pulmonary artery ,4018926 
Plication of diaphragm ,4217615 
Relief of left ventricular outflow tract obstruction ,44790092 
Tricuspid valve repair NEC ,4293619 
Repair of tetralogy of fallot using transannular patch ,4308136 
Replacement of mitral valve NEC ,4203153 
Transposition of coronary artery NEC ,4296790 
,
,
,
,
,
,
,
,
